conference,unique_id,institutions
aaai,14343,['City University of New York']
aaai,14534,"['Ecole Normale Superieure', 'CNRS', 'INRIA', 'Microsoft']"
aaai,14535,"['East China Normal University', 'Nanjing University', 'Georgia Institute of Technology', 'Stanford University', 'IBM']"
aaai,14705,['Chinese Academy of Sciences']
aaai,14226,['Northeastern University']
aaai,14425,['Chinese Academy of Sciences']
aaai,14686,['Northwestern Polytechnical University']
aaai,14212,"['Shenzhen Graduate School', 'Harbin Institute of Technology']"
aaai,14587,['Nanjing University']
aaai,14780,"['Nanjing University', 'Alibaba', 'Sharp', 'University of Iowa']"
aaai,14693,"['Chinese Academy of Sciences', 'Northwestern Polytechnical University']"
aaai,14813,"['Tencent', 'Xiamen University', 'Fujian Key Laboratory of Sensing and Computing for Smart City']"
aaai,14330,"['Chinese Academy of Sciences', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
aaai,14175,[]
aaai,14758,['University of Wollongong']
aaai,14761,['National University of Defense Technology']
aaai,14233,['Tianjin University']
aaai,14186,['Tianjin University']
aaai,14526,"['Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
aaai,15033,"['Northwestern Polytechnical University', 'University of Texas at Arlington', 'Illinois Institute of Technology']"
aaai,14853,['University of Technology Sydney']
aaai,14469,"['University of Technology Sydney', 'Northwestern Polytechnical University', ""Xi'an Jiaotong University"", 'Carnegie Mellon']"
aaai,14632,"['Carnegie Mellon', 'Washington University in St. Louis', 'Intuit Inc.']"
aaai,15031,"['Carnegie Mellon', 'University of Washington']"
aaai,14835,"['Chinese Academy of Sciences', 'Peking University', 'Carnegie Mellon', 'Microsoft']"
aaai,14868,"['Beijing Jiaotong University', 'Peking University', 'Microsoft']"
aaai,14849,"['Caltech', 'Massachusetts Institute of Technology']"
aaai,14505,[]
aaai,14530,['Indiana University']
aaai,14650,['Purdue University']
aaai,14514,"['Nanjing University', 'Singapore Management University']"
aaai,14598,"['Peking University', 'AT &T Bell Laboratories']"
aaai,14584,"['Australian National University', 'University of Sydney', 'Data61', 'Sony']"
aaai,15020,['University of Cambridge']
aaai,14364,['CNRS']
aaai,14833,"['Chinese Academy of Sciences', 'Northwestern Polytechnical University']"
aaai,15039,"['Northwestern Polytechnical University', 'University of Texas at Arlington']"
aaai,14404,"['Chinese Academy of Sciences', 'Northwestern Polytechnical University']"
aaai,14494,[]
aaai,14382,['UC Irvine']
aaai,14952,"['University of Nottingham', 'Washington University in St. Louis']"
aaai,14383,[]
aaai,14325,['Politecnico di Milano']
aaai,14460,['Indiana University']
aaai,14473,"['Chinese Academy of Sciences', 'University of Pennsylvania']"
aaai,14442,"['Sichuan University', 'Tsinghua University', 'National University of Singapore', 'A*STAR', 'Santa Clara University']"
aaai,14557,['Deakin University']
aaai,14812,['University of Alberta']
aaai,14912,['IIT Kanpur']
aaai,14599,['Stanford University']
aaai,14678,"['Fudan University', 'Tencent', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'University of Texas at Arlington', 'South China University of Technology']"
aaai,14444,['East China Normal University']
aaai,14565,"['University of Technology Sydney', 'Nanjing University', 'University of Electronic Science and Technology of China']"
aaai,14674,"['University of Technology Sydney', 'University of Science and Technology of China']"
aaai,14467,['University of Florida']
aaai,14295,['Electronics and Telecommunications Research Institute']
aaai,14616,"['Chinese Academy of Sciences', 'Northwestern Polytechnical University']"
aaai,14670,"['Hong Kong Baptist University', 'University of Sheffield']"
aaai,14956,"['University of Waterloo', 'Massachusetts Institute of Technology', 'Yahoo! Inc.']"
aaai,14967,['Stanford University']
aaai,14420,['Duke University']
aaai,14961,"['University of Texas at Austin', 'Sina']"
aaai,14551,[]
aaai,14446,"['Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology, Hong Kong', 'Nanyang Technological University']"
aaai,14210,['Southeast University']
aaai,14459,"['Tsinghua University', 'University of Southampton']"
aaai,14619,"['Chinese Academy of Sciences', 'Microsoft']"
aaai,14838,"['Technical University Darmstadt', 'Max Planck Society', 'University of Tokyo', 'RIKEN', 'McGill University', 'University of Lincoln']"
aaai,14938,['University of Trento']
aaai,14957,['Carnegie Mellon']
aaai,14767,"['University of Lille', 'Chalmers University', 'Harvard University']"
aaai,14768,"['University of Lille', 'Chalmers University', 'Harvard University']"
aaai,14898,['ETH Zurich']
aaai,14737,[]
aaai,14284,['Northwestern University']
aaai,14346,['Hong Kong University of Science and Technology']
aaai,14976,['University of Virginia']
aaai,14303,"['University of Technology Sydney', 'University of Illinois at Chicago', 'University of Illinois at Urbana-Champaign']"
aaai,15001,['Carnegie Mellon']
aaai,14327,['Xidian University']
aaai,14379,['Northeastern University']
aaai,14427,['Chinese Academy of Sciences']
aaai,14683,"['Dalian University of Technology', 'University of Rochester']"
aaai,14998,"['Huawei', 'Nokia', 'Princeton University', 'Apple', 'AT &T Bell Laboratories', 'Yahoo! Inc.']"
aaai,14214,"['University of Melbourne', 'Tsinghua University']"
aaai,14291,"['University of Technology Sydney', 'Peking University']"
aaai,14241,"['University of Melbourne', 'South China University of Technology']"
aaai,14307,"['Anhui University', 'South China University of Technology']"
aaai,14744,"['Nanjing University', 'Nanjing University of Aeronautics and Astronautics', 'Southeast University']"
aaai,14971,[]
aaai,14532,"['Nanjing University', 'University of Iowa']"
aaai,14702,['University of Texas at Arlington']
aaai,14439,"['University of Technology Sydney', 'Grifﬁth University', 'Northwestern Polytechnical University', 'Zhejiang University']"
aaai,14487,"['University of Technology Sydney', 'University of Iowa', 'Yahoo! Inc.']"
aaai,14626,"['Peking University', 'Cornell', 'IBM']"
aaai,14586,['Nanjing University']
aaai,14166,"['Academia Sinica', 'National Taiwan University']"
aaai,14620,"['National Taiwan University', 'University of Texas at Austin']"
aaai,14344,"['Shanghai Jiaotong University', 'University College London']"
aaai,14742,"['Chinese University of Hong Kong', 'The Chinese University of Hong Kong']"
aaai,14310,[]
aaai,14914,['Sharif University of Technology']
aaai,14687,"['Peking University', 'Shanghai Jiaotong University', 'Carnegie Mellon']"
aaai,14590,"['York University', 'New York University']"
aaai,14909,"['University of California, Los Angeles']"
aaai,14157,"['York University', 'New York University']"
aaai,14430,['Hong Kong University of Science and Technology']
aaai,14647,['Northeastern University']
aaai,14877,['Nanjing University']
aaai,14892,['Nanjing University']
aaai,14696,"['Peking University', 'Alibaba']"
aaai,14426,"['Hong Kong Baptist University', 'University of Sheffield']"
aaai,14225,['UC Berkeley']
aaai,14221,['University of Electronic Science and Technology of China']
aaai,14498,['Nanjing University']
aaai,14492,['Nanjing University']
aaai,14882,[]
aaai,14180,['Indian Institute of Science']
aaai,14545,"['Vrije Universiteit Brussel', 'Universidade Nova de Lisboa']"
aaai,14841,['North Carolina State University']
aaai,14981,['Imperial College London']
aaai,14928,['Singapore Management University']
aaai,14208,[]
aaai,14891,['Singapore Management University']
aaai,14662,['Bar-Ilan University']
aaai,14525,"['Peking University', 'Hong Kong Polytechnic University', 'Microsoft']"
aaai,14491,['Chinese Academy of Sciences']
aaai,14513,[]
aaai,14636,['IBM']
aaai,14764,['IBM']
aaai,14614,"['University of Tokyo', 'Fujitsu', 'National Institute of Informatics']"
aaai,14161,"['Tsinghua University', 'Huawei']"
aaai,14306,['Tsinghua University']
aaai,14576,"['Peking University', 'Microsoft']"
aaai,14170,['Zhejiang University']
aaai,14822,"['University of Science and Technology of China', 'University of S&T of China']"
aaai,14653,"['Tel Aviv University', 'Microsoft']"
aaai,14724,['Singapore University of Technology and Design']
aaai,14527,"['Peking University', 'Hong Kong Polytechnic University']"
aaai,14564,"['University of Illinois at Urbana-Champaign', 'University of Maryland']"
aaai,14495,['Harbin Institute of Technology']
aaai,14394,['Tsinghua University']
aaai,14628,"['Tencent', 'A*STAR']"
aaai,14276,['Georgia Institute of Technology']
aaai,14542,['Allen Institute for Artiﬁcial Intelligence']
aaai,14699,['University of Illinois at Urbana-Champaign']
aaai,14428,['University of Ottawa']
aaai,14484,['Peking University']
aaai,14400,"['Sun Yat-sen University', 'Hong Kong University of Science and Technology']"
aaai,14939,['University of Pittsburgh']
aaai,14317,['Harbin Institute of Technology']
aaai,14692,"['Beijing Institute of Technology', 'National University of Singapore', 'South China University of Technology']"
aaai,14164,['Johns Hopkins University']
aaai,14827,['Northwestern University']
aaai,14732,"['Hong Kong University of Science and Technology', 'Hong Kong University of Science and Technology, Hong Kong', 'Beihang University']"
aaai,14223,"['Philips', 'Brandeis University']"
aaai,14332,"['University of Cambridge', 'Johns Hopkins University']"
aaai,14571,"['University of Montreal', 'IBM']"
aaai,14567,"['University of Montreal', 'McGill University']"
aaai,14320,"['Tsinghua University', 'Soochow University', 'Xiamen University']"
aaai,14843,['Singapore University of Technology and Design']
aaai,14441,"['Nanyang Technological University', 'SAP']"
aaai,14701,['University of Illinois at Urbana-Champaign']
aaai,14451,"['Soochow University', 'Huawei']"
aaai,14723,['Chinese Academy of Sciences']
aaai,14177,"['Baidu', 'Northwestern University', 'Facebook']"
aaai,14563,"['Microsoft', 'Nankai University', 'Beihang University']"
aaai,14299,['Peking University']
aaai,14776,['IBM']
aaai,14322,"['Soochow University', 'Xiamen University']"
aaai,14682,"['Tsinghua University', 'University of Illinois at Urbana-Champaign']"
aaai,14174,"['Northeastern University', 'University of Texas at Austin']"
aaai,14471,"['Chinese Academy of Sciences', 'Tencent']"
aaai,14412,"['Tencent', 'Carnegie Mellon']"
aaai,14904,"['National University of Singapore', 'University of Pittsburgh']"
aaai,14779,['Sun Yat-sen University']
aaai,14656,"['Arizona State University', 'Michigan State University']"
aaai,14865,['Singapore Management University']
aaai,14472,['Chinese Academy of Sciences']
aaai,14324,"['Tsinghua University', 'A*STAR']"
aaai,14741,['Singapore University of Technology and Design']
aaai,14502,[]
aaai,14823,['Northeastern University']
aaai,14931,['Singapore University of Technology and Design']
aaai,14265,[]
aaai,14613,"['Tencent', 'Chinese University of Hong Kong', 'The Chinese University of Hong Kong', 'University College London']"
aaai,14792,"['University of Amsterdam', 'University College London']"
aaai,14861,['Peking University']
aaai,14611,['Peking University']
aaai,14207,['Zhejiang University']
aaai,14808,['Link¨oping University']
aaai,14311,[]
aaai,14652,[]
aaai,15009,['Delft University of Technology']
aaai,14819,"['CNRS', 'lip6.fr', 'Carnegie Mellon']"
aaai,14886,['Brown University']
aaai,14771,"['National University of Singapore', 'Singapore Management University', 'Google']"
aaai,14862,"['University of Melbourne', 'Universitat Pompeu Fabra', 'ICREA']"
aaai,14641,['Harvey Mudd College']
aaai,14984,['University of Southern California']
aaai,14958,"['University of Toronto', 'Massachusetts Institute of Technology']"
aaai,14666,['University of Aberdeen']
aaai,14991,['University of Massachusetts Amherst']
aaai,14766,['University of Basel']
aaai,14955,['Aalto University']
aaai,14762,['University of Basel']
aaai,14979,"['Massachusetts Institute of Technology', 'Naval Research Laboratory']"
aaai,14203,"['Shanghai University', 'Tsinghua University', 'Carnegie Mellon', 'University of Wisconsin-Madison']"
aaai,14960,['Delft University of Technology']
aaai,14978,"['Ohio State University', 'UC Davis']"
aaai,14936,[]
aaai,14309,"['Free University of Bozen-Bolzano', 'University of Calabria']"
aaai,15008,['University of Edinburgh']
aaai,14889,"['University of Toronto', ""King's College London"", 'University of London']"
aaai,15026,"['University of Toronto', 'Massachusetts Institute of Technology']"
aaai,14354,['Institute of Science and Technology Austria']
aaai,14411,['ShanghaiTech University']
aaai,15037,['Purdue University']
aaai,15035,['Carnegie Mellon']
aaai,14618,"['Technical University Darmstadt', 'National University of Singapore', 'University of Lincoln']"
aaai,14754,"['Indian Institute of Science', 'ERNET', 'UC Berkeley']"
aaai,14566,['University of Oxford']
aaai,14908,['IBM']
aaai,14774,['IBM']
aaai,14946,"['University of Toronto', 'Oregon State University', 'Tufts University']"
aaai,14497,"['Bosch GmbH', 'Technical University Darmstadt', 'Robert Bosch']"
aaai,14450,"['University of Adelaide', 'Northwestern Polytechnical University', 'UC San Diego']"
aaai,14622,['Link¨oping University']
aaai,14937,[]
aaai,14419,['University of Sydney']
aaai,14993,['University of Texas at Austin']
aaai,14363,['University of Technology Sydney']
aaai,14509,['INESC-ID']
aaai,14834,['University of Texas at Austin']
aaai,14380,['CNRS']
aaai,14274,"['Ecole Normale Superieure', 'CNRS']"
aaai,14515,['University College London']
aaai,14968,['UC Berkeley']
aaai,14755,[]
aaai,14815,"['University of Rochester', 'Rochester Institute of Technology']"
aaai,14948,['University of Glasgow']
aaai,14873,['Microsoft']
aaai,14544,['CNRS']
aaai,14706,['Technische Universität Wien (TU Wien)']
aaai,14638,[]
aaai,14191,['Delft University of Technology']
aaai,14359,['CNRS']
aaai,14874,['Stanford University']
aaai,14463,"['Huazhong Univ. of Sci. and Tech.', 'Temple University']"
aaai,14499,['Tsinghua University']
aaai,14249,['Tsinghua University']
aaai,14313,['Chinese Academy of Sciences']
aaai,14462,['University of Oxford']
aaai,14431,['New York University']
aaai,14825,"['Beijing Institute of Technology', 'Stony Brook University']"
aaai,14457,"['Rutgers University', 'Adobe']"
aaai,14351,['Temple University']
aaai,14624,"['Tsinghua University', 'University of Southern California', 'Google']"
